word,frequency
саҕаланыытыгар,35
ис,34
булҕардар,34
кырыым,34
итэҕэлин,34
бааллар.,34
таһыгар,34
булҕар,34
быһа,34
онон,34
тыва,34
сүрүннээн,34
улууһун,34
хаана,34
буола,34
ытык,33
чинчийээччи,33
национальнай,33
төрөөбүтэ.,33
олорбуттар.,33
ойох,33
россия,33
олус,33
маҥан,33
ууһа,33
ашина,33
дьанибэк,33
кэлэн,32
тыһ.,32
кыргыстара,32
тохсунньу,32
дьобуруопа,32
үрдүк,32
норуоттар,32
татаар,32
дьахтар,32
саҕана,32
дьоно,32
барбыта.,32
тахсыбыта.,32
көс,32
6,32
сытар,32
аныгы,32
сыллаах,32
2003,32
мечников,31
турар.,31
биистэрэ,31
чулым,31
"холобур,",31
фуйуй,31
ахсаана,31
тэҥэ,31
ыйа,31
миэстэ,31
мамай,31
оруолун,31
азербайдьаан,31
кинилэри,31
сылдьыбыта.,31
холоон,31
сыллар,31
үгүс,31
карьерата,31
"м.,",30
2007,30
2019,30
иннинэ,30
сулейман,30
аҕыйах,30
ааттара,30
сс.,30
кыргыыс,30
xix,30
кэмэ,30
хос,30
кучум,30
2001,30
быһаарыылар,30
сыдьааннара,29
сыллардаахха,29
аатырбыт,29
ссрс,29
салайар,29
дорҕоон,29
арассыыйаҕа,29
14,29
аҕатын,29
нууччалар,29
тыһыынча,29
уон,29
алтынньы,29
17,29
куората,28
күүстээх,28
история,28
казан,28
кытайга,28
аскиз,28
былыр,28
устуоруйата,28
казахстан,28
бүтэрбитэ.,28
билгэ,28
киирбитэ.,28
the,28
төрөөбүт.,28
дойдутун,28
сааһыгар,28
2004,28
хара,28
сирдэрэ,28
сибииргэ,28
кыргыстарын,28
хабарҕа,28
норуотун,28
of,28
пиньинь:,28
сыллаахтан,28
=,28
26,28
үйэтээҕи,28
баартыйа,28
11,27
эдигэй,27
ыйыгар,27
харахаан,27
төрдө,27
азияҕа,27
үрүҥ,27
кыргыстар,27
саҕалаабыта.,27
isbn,27
византия,26
ыкса,26
2000,26
олимпиадаҕа,26
24,26
ардыларынааҕы,26
сирия,26
абакан,26
дьонун,26
дойдутааҕы,26
тыйаатыр,26
аһаҕас,26
дьоҕус,26
сэргэ,26
модун,26
арҕааҥҥы,26
бүтүүтүгэр,26
казах,26
тас,26
кыргыыстар,26
барыта,26
кэм,26
:,25
эбит.,25
биистэр,25
былаас,25
кыргыстаан,25
ирак,25
м,25
байыаннай,25
гагаузтар,25
биллэр.,25
б.,25
көстөр,25
норуот,25
9,25
үрдүкү,25
улуус,25
2006,25
кытары,25
шор,25
бүрээт,24
сэриитэ,24
йоҕыр,24
састаабыгар,24
этэ,24
буоларын,24
үлэтин,24
суруйбут,24
xiv,24
"тыла,",24
км,24
к.,24
үөрэнэн,24
сэриини,24
тофа,24
төгүллээх,24
ураты,24
оруолу,24
а,24
төрөөбүтэ,24
23,24
д.,24
16,24
өлбүт,23
олорон,23
орда),23
башня,23
көмөтүнэн,23
ортотугар,23
мусульман,23
"төрөөбүтэ,",23
түүрдүү,23
киэҥник,23
),23
ый,23
суруга,23
кыайан,23
"кэннэ,",23
13,23
олоро,23
киирэр.,23
буолуохтарын,23
no,23
тахса,23
ааты,23
артыыһа,23
дойдутугар,23
сиэрийэлээх,23
тутулуга,23
ыраахтааҕы,22
судаарыстыба,22
бүтүн,22
үлэлээбитэ.,22
олор,22
ермак,22
бишкек,22
шибан,22
уһуллубута.,22
чопчу,22
7,22
19,22
п.,22
суруктарыгар,22
өрөспүүбүлүкэтигэр,22
олоҕун,22
өрөспүүбүлүкэ,22
киирэн,22
артыыһа.,22
казахтар,22
ордууга,22
бөлөҕөр,22
ийэтэ,22
киниэхэ,22
суруллубут,22
билэр,22
хнт,22
төгүл,22
сэрийээлгэ,22
мойан-чур,22
по,22
муһаммад,22
буоллаҕына,21
ордууну,21
оскуола,21
(,21
%),21
буолбута,21
киирбит,21
уопсай,21
манна,21
исмаил,21
оройуонугар,21
баһылыктара,21
27,21
суох.,21
тылыттан,21
чөмпүйүөнэ,21
2017,21
чугас,21
орда-эдьэн,21
саха,21
туох,21
тимур,21
хамаандатын,21
хакаас,21
сөп,21
сэрийээлигэр,21
алта,21
xiii,21
урус-хаан,21
суолталаах,21
салардар,21
100,21
татаардар,21
этэ[1].,21
европаҕа,21
сирдэрин,20
1917,20
дьону,20
иһинэн,20
"""диван",20
"курдук,",20
биэс,20
болҕар,20
луҕат,20
ыал,20
тыа,20
улууһа,20
санаа,20
уол,20
көрбүтэ.,20
күөл,20
↑,20
сыллахха,20
былааһын,20
бату,20
ханнык,20
оннук,20
өлбүтэ.,20
түмэн,20
уус,20
хаһыат,20
1990,20
уобалас,20
олохтоохторун,20
xv,20
уйгуурдары,20
этэллэринэн,20
суол,20
"буолан,",20
сүүмэрдэммит,19
муҥутуур,19
төрөөбүт),19
ылан,19
дьүчи,19
татаардарын,19
ырыатын,19
25,19
тутулуктаах,19
олортон,19
ааттыыллар.,19
тайдула,19
уобалаһын,19
тофалар,19
дойдута,19
ааттанар,19
чаҕатай,19
чыҥыс,19
ылата,19
сылдьар,19
тылларыгар,19
ал-кашгари,19
оччолорго,19
перс,19
"ат-турк""",19
22,19
бразилия,19
муунтата,19
кг,19
(тур.,19
университетыгар,19
волга,19
телеуттар,19
урукку,19
дьадид,19
үгэс,19
1989,19
билим,19
олорбуттара.,19
кыһыл,19
чинчийээччитэ,19
биирдэ,19
киэҥ,18
a,18
төһө,18
бурхан,18
таһаарбыта.,18
тустууга,18
оонньууларын,18
м.:,18
култуура,18
ираан,18
сабаҕалыылларынан,18
тиийэн,18
(нууч.:,18
тустарынан,18
быраата,18
б.э.и.,18
бэйэлэрэ,18
урум,18
ахсааннаах,18
сезен,18
ыраахтааҕыта,18
сыһыаннаах,18
баһылыгын,18
анал,18
үтүөлээх,18
дойдуну,18
р.,18
1995,18
дойдуларын,18
таҥара,18
у,18
алшыннар,18
маһмуд,18
ким,18
кыргыһыыга,18
маны,18
гаспринскай,18
тайбуҕа,18
л.,18
нууччалыы,18
анкара,18
туһугар,18
үөскээбит,18
хотугулуу,18
ырыа,18
чөмпүйэнээтин,18
50,18
кытылыгар,17
ханствотын,17
үөскээбит.,17
үөрэҕин,17
бөдөҥ,17
киһи.,17
биирдиилээн,17
кэриҥэ,17
буолбакка,17
кыыһа,17
аатыттан,17
кутлуг,17
ыаллыы,17
ыччат,17
and,17
сириттэн,17
г,17
сурукка,17
түүрдэри,17
үөрэх,17
дорҕооннор,17
"өттүгэр,",17
султан,17
кэлбит,17
эр,17
буолбуттара.,17
киһитэ,17
өбүгэлэрэ,17
бэрдибэк,17
мусульманнар,17
төрүттэрэ,17
оонньууларыгар,17
үксүлэрэ,17
"этилэр,",17
кылгас,17
сирдэригэр,17
я,17
тахсан,17
iv,17
тоҕо,17
үлэтэ,17
30,17
иэнэ,17
арахсыбыттара.,17
альберт,17
«великолепный,17
кэргэнигэр,17
сурук,16
ортолоругар,16
ыһыллыбытын,16
б.к.и.,16
куораттан,16
аҥарыгар,16
из,16
көстөр.,16
диалега,16
куоратын,16
1994,16
михаил,16
иван,16
тахсар.,16
сайыҥҥы,16
х.,16
истэригэр,16
хоҥорой,16
дьиҥнээх,16
"эрээри,",16
кытайдар,16
киһи;,16
атласов,16
өстүөкүлэ,16
анаан,16
волгатааҕы,16
киһиэхэ,16
сиэнэ,16
саныылларынан,16
э.,16
тарҕаммыт,16
гуркин,16
куорат),16
ордуутун,16
1992,16
саба,16
дойдулар,16
ылбыт.,16
уо.д.а.,16
саҕаламмыта.,16
учуонай,16
ыытыллар,16
биистэрин,16
дьуҥҕаар,16
финал,16
18,16
карапапахтар,16
1999,16
29,16
былааска,16
былааһы,16
киирсиигэ,16
рф,16
"%),",16
улаханнык,15
серб,15
хамаандатыгар,15
оҥоһуллубут,15
уолун,15
500,15
уустарын,15
кытайдыы,15
сытар.,15
"буолбута,",15
москва,15
х,15
салар,15
үрэх,15
туран,15
өрүскэ,15
тутан,15
ил,15
таас,15
оонньоон,15
"уола,",15
ситимнээх,15
аҥара,15
аны,15
кувезин,15
норуодунай,15
2018,15
үрдүгэр,15
1991,15
"сыллаахха,",15
салайбыт,15
итэҕэлэ,15
ii,15
ойоҕо,15
ш,15
бөлөххө,15
век»,15
оннугар,15
(ак,15
ош,15
"төрөөбүт,",15
xvii,15
кэргэнэ,15
тохта,15
өр,15
күүскэ,15
административнай,15
л,15
хаалбыт,15
аҕыс,15
"""мусават""",15
ханствота,15
саастааҕар,15
хааннара,15
боруонса,15
1997,15
[1].,15
хаҕанат,15
ыла,15
ыҥырыылаах,15
муора,14
олорор.,14
баку,14
ноҕайдар,14
турбут,14
туркмен,14
in,14
былыргыттан,14
аксу,14
1950,14
чуолаан,14
өйдөбүл,14
1983,14
туркменнэр,14
vi,14
ааттыыр,14
сабаҕалыырынан,14
тыллаахтар,14
латыын,14
сири,14
оройуон,14
илдьит,14
биэрэпис,14
биэрэпиһинэн,14
кэргэн,14
кытайы,14
тэлэ,14
"этэринэн,",14
"күнэ,",14
(каз.,14
"быһыытынан,",14
сэриилэрин,14
туркменнэрин,14
кыт.:,14
(көк,14
бичурин,14
соҕотох,14
оҥорбут,14
номоххо,14
дииллэр.,14
кавказка,14
ахш,14
киирсэр,14
кэлбитэ.,14
үөрэтэр,14
британия,14
сыла,14
н,14
үөрэхтээхтэр,14
автономнай,14
дойдуларга,14
кинигэҕэ,14
т,14
бастакынан,14
испания,14
баара,14
бастакытын,14
альбомун,14
murat,14
кыттыбыта.,14
v,13
арахсар.,13
1993,13
сыдьаана,13
сэриигэ,13
италия,13
толору,13
"буолбакка,",13
б,13
21,13
тэрийбит,13
өттүттэн,13
дмитрий,13
>,13
таһымнаах,13
дьиэтэ,13
ö,13
сыылкалар,13
хун,13
бэклэрбэк,13
умай,13
монгуол,13
п,13
чөмпүйэнээтэ,13
ырыаларын,13
төрдүс,13
информация,13
иртыш,13
"сүрүннээн,",13
xx,13
з,13
de,13
р,13
ахтыллар.,13
кыыһы,13
факультета,13
е,13
быраабын,13
үөрэммитэ.,13
сылтаан,13
хамсааһынын,13
владимир,13
барар.,13
өлөн,13
усманов,13
суругун,13
гына,13
тылларыттан,13
тинибэк,13
эрмээн,13
200,13
мустафа,13
университет,13
"өрөспүүбүлүкэтэ,",13
элбэхтик,13
ы,13
"суох,",13
олохтоохторо,13
соҕуруулуу,13
1998,13
туба,13
