source,target,src_word_len,tgt_word_len,src_char_len,tgt_char_len,char_ratio,word_ratio
Уу паарга кубулуйар.,вода превращается в пар.,3,5,20,24,1.2,1.6666666666666667
"Үрдэр антах, өҕүрүйдэр бэттэх.",он слабовольный человек.,4,4,30,24,0.8,1.0
Кини кэлиэ дуо? Кэлиэ дии санаабаппын.,"он придёт? не думаю, что придёт.",6,9,38,32,0.8421052631578947,1.5
Уотунан оонньоомо!,не играй с огнём!,2,5,18,17,0.9444444444444444,2.5
Туох барыта буолар.,всякое бывает.,3,3,19,14,0.7368421052631579,1.0
Амсайарга аналлаах кинигэ баар буолар; оттон сорох кинигэ ыйыстарга аналлаах. Арай аҕыйах кинигэ ыстаан баран иҥэринэргэ аналлаах.,"есть книги, которые нужно пробовать на вкус; есть иные, которые нужно глотать. и есть немногие, которые нужно пережёвывать и усваивать.",17,26,130,135,1.0384615384615385,1.5294117647058822
Тыытыма!,не трогай!,1,3,8,10,1.25,3.0
"Сылгы ыттааҕар улахан, оттон куоска ыттааҕар кыра.","лошадь больше собаки, а кошка меньше собаки.",7,9,50,44,0.88,1.2857142857142858
Кураанах тыльшан кумахтан өтүүнү өрөр.,у него язык хорошо подвешен.,5,6,38,28,0.7368421052631579,1.2
Томын хараҕын аалларар.,он ненавидит тома.,3,4,23,18,0.782608695652174,1.3333333333333333
"Киэһээҥи аһылыкка дылы кэлиэ, кэллэҕинэ.","он придёт до обеда, если вообще придёт.",5,9,40,39,0.975,1.8
Барыгытыгар махтал. Улахан махтал.,thank you всем. thank you большое.,4,8,34,34,1.0,2.0
"Эн 2:30 кэлиэҥ, оттон Мария арыый хойут кэлиэ.","ты придёшь в 2:30, а мария придёт чуть позднее.",8,11,46,47,1.0217391304347827,1.375
Аах-чуох санаамаҥ.,не поминайте лихом!,2,4,18,19,1.0555555555555556,2.0
Аан дойдутааҕы дьахтар күнүнэн эҕэрдэлиибин!,с международным женским днём!,5,5,44,29,0.6590909090909091,1.0
Ыттар бары - кыыллар. Ол эрэн ити этии кыыл бары ыт диэн буолбатах.,"все собаки - животные. однако это не значит, что все животные - собаки.",13,16,67,71,1.0597014925373134,1.2307692307692308
Оннооҕор Том итинник гыныа суох этэ.,даже тому бы хватило мозгов этого не делать.,6,9,36,44,1.2222222222222223,1.5
Том уонна Мэри доҕотторо кинилэр уруу малааһыннарыгар онтон-мантан кэлбиттэр.,"друзья тома и мэри съехались отовсюду, чтобы поприсутствовать на их свадьбе.",9,13,77,76,0.987012987012987,1.4444444444444444
Боксерга иккис рауҥҥа сымыйанан нокаут барарын иһин харчы төлөөбүттэр.,"боксёру заплатили, чтобы он симулировал нокаут во втором раунде.",9,11,70,64,0.9142857142857143,1.2222222222222223
Том хаһыаты суулаан баран хонноҕун анныгар угунна.,том сложил газету и положил себе под мышку.,7,9,50,43,0.86,1.2857142857142858
Аанньа утуйбатым.,я плохо спал.,2,4,17,13,0.7647058823529411,2.0
"Балык уу дириҥин былдьаһар, киһи күн үтүөтүн көрдөһөр.","рыба ищет, где глубже, а человек — где лучше.",8,12,54,45,0.8333333333333334,1.5
Том элбэх харчыны өлөрбүт.,том заработал много денег.,4,5,26,26,1.0,1.25
Самыыр күннүктээн түстэ.,дождь шёл весь день.,3,5,24,20,0.8333333333333334,1.6666666666666667
Мин куоракка баарбын.,я в городе.,3,4,21,11,0.5238095238095238,1.3333333333333333
Дьэ тугу этиэҥ баарай!,какая досада!,4,3,22,13,0.5909090909090909,0.75
Күн сирэ күндү.,никому не хочется умирать.,3,5,15,26,1.7333333333333334,1.6666666666666667
Оннук буолбат.,так не бывает.,2,4,14,14,1.0,2.0
Оннук буолбат.,такого не бывает.,2,4,14,17,1.2142857142857142,2.0
Дьэ бэрт доҕор!,ну и ну!,3,4,15,8,0.5333333333333333,1.3333333333333333
Бу күөл өҕүөмэр балыктаах.,это озеро богато рыбой.,4,5,26,23,0.8846153846153846,1.25
Наар аанньа.,час от часу не легче.,2,6,12,21,1.75,3.0
Үс омук тылын билэр.,он знает три иностранных языка.,4,6,20,31,1.55,1.5
Оннук ордук буолуо.,так будет лучше всего.,3,5,19,22,1.1578947368421053,1.6666666666666667
"Уутааҕар чуумпу, оттооҕор намыһах.","тише воды, ниже травы.",4,6,34,22,0.6470588235294118,1.5
Аттаах сатыыны кытта аргыстаспат.,пеший конному не попутчик.,4,5,33,26,0.7878787878787878,1.25
Этиһии алҕаһы элбэтэр.,ссора умножает ошибки.,3,4,22,22,1.0,1.3333333333333333
Ыттан тириитин сүлүөҥ дуо?,разве с собаки шкуру сдерёшь?,4,6,26,29,1.1153846153846154,1.5
Ыттан тириитин сүлүөҥ дуо?,а он в состоянии оплатить?,4,6,26,26,1.0,1.5
Ыт тыһын курдук кылгаата.,у него пороху не хватило.,4,6,25,25,1.0,1.5
Ыт тыһын курдук кылгаата.,"он укоротился, как собачья лапа.",4,7,25,32,1.28,1.75
Кырыыстаах кыраабытын курдук.,как-будто проклял заклинатель.,3,4,29,30,1.0344827586206897,1.3333333333333333
Кырыыстаах кыраабытын курдук.,"не везёт, так не везёт.",3,7,29,23,0.7931034482758621,2.3333333333333335
Кырыыстаах кыраабытын курдук.,к этой работе рука не лежит.,3,7,29,28,0.9655172413793104,2.3333333333333335
Көҕөрбүтүн көрүмэ — үүнээйитэ билиэҕэ.,"не смотри, что зелено — по урожаю увидим.",5,10,38,41,1.0789473684210527,2.0
Оҕоҕо испиискэни тыыттарымаҥ.,не позволяйте детям трогать спички.,3,6,29,35,1.206896551724138,2.0
"Эһэ тыҥыраҕынан, эр сүрэҕинэн.","медведь силён когтями, добрый молодец — сердцем.",4,9,30,48,1.6,2.25
Сүрэхпиттэн быстыам дуо?,разве я отрежу кусок от своего сердца?,3,8,24,38,1.5833333333333333,2.6666666666666665
Том сүрэҕин ырбаахыта чараас.,том уж слишком сердобольный.,4,5,29,28,0.9655172413793104,1.25
"Сүрэх баҕарар да, сүһүөх уйбат.","сердце так и рвётся, yes сил не хватает.",5,10,31,40,1.2903225806451613,2.0
Сүрэҕэ көҕөрбүт.,он совершенно обленился.,2,4,16,24,1.5,2.0
Сүрэҕэ көппөйбүт.,он совершенно обленился.,2,4,17,24,1.411764705882353,2.0
Тыаҕа бултаан биир тииҥ көрөн баран куоттаран кэбистим.,"охотясь в лесу, преследовал белку, но упустил её.",8,11,55,49,0.8909090909090909,1.375
Сылдьыым үчүгэй.,самочувствие у меня хорошее.,2,5,16,28,1.75,2.5
Эриэн үөн таастан сылдьырыйан түстэ.,змея легко и бесшумно соскользнула с камня.,5,8,36,43,1.1944444444444444,1.6
"Ынах маҥыраабат, киһи сылдьыбат ыала.","в доме не слышны ни людская речь, ни коровье мычание.",5,12,37,53,1.4324324324324325,2.4
Ынаҕы ыҥыырдаабыкка дылы.,как корове седло.,3,4,25,17,0.68,1.3333333333333333
Тарбаабыт ынах курдук.,"смирный как корова, которую чешут.",3,7,22,34,1.5454545454545454,2.3333333333333335
Тыала суохха мас хамсаабат.,без ветра деревья не колышутся.,4,6,27,31,1.1481481481481481,1.5
Үлүбүөй киһини истэр сатаммат.,нельзя слушать первого попавшегося.,4,5,30,35,1.1666666666666667,1.25
Том түүнү быһа үлүгүнэйэн таҕыста.,том всю ночь бредил.,5,5,34,20,0.5882352941176471,1.0
Туох баара тыал тыаһын курдук иһит.,всё это пропусти мимо ушей.,6,6,35,27,0.7714285714285715,1.0
Туох баара тыал тыаһын курдук иһит.,всё это слушай как шум ветра.,6,7,35,29,0.8285714285714286,1.1666666666666667
Холлоҕос көтүтэр тыал үрэр.,"дует ветер, уносящий берестяные сосуды из-под зимних запасов.",4,10,27,61,2.259259259259259,2.5
Холлоҕос көтүтэр тыал үрэр.,зимние припасы кончились.,4,4,27,25,0.9259259259259259,1.0
Бүгүн куобах тыалырҕаан күүппэт.,сегодня заяц чуток и близко не подпускает охотника.,4,9,32,51,1.59375,2.25
Оҕус тириитин иккитэ сүлбэттэр.,с одного быка дважды шкуру не сдирают.,4,8,31,38,1.2258064516129032,2.0
Оҕус тириитин иккитэ сүлбэттэр.,два раза за одно и то же не спрашивают.,4,10,31,39,1.2580645161290323,2.5
Еллөхпүнэ сиэбит да суорум тиэрдэр үһүө.,"не доставит меня туда и ворон, съевший мой труп.",6,11,40,48,1.2,1.8333333333333333
Еллөхпүнэ сиэбит да суорум тиэрдэр үһүө.,у чёрта на куличках.,6,5,40,20,0.5,0.8333333333333334
Өлөн көрөн өлөрү билбит суох.,никто ещё не умирал временно.,5,6,29,29,1.0,1.2
Өллөхпүнэ үөрүм ытаан ааһыаҕа.,после смерти дух мой обо мне плачем напомнит.,4,9,30,45,1.5,2.25
Елүү суолун нэтээгинэн бүөлээбиккэ дылы.,"всё равно, что затыкать вход в преисподнюю шкуркой летяги.",5,11,40,58,1.45,2.2
Елүү суолун нэтээгинэн бүөлээбиккэ дылы.,пустяками тут не отделаешься.,5,5,40,29,0.725,1.0
Эппитин кубулуппат үгэстээх.,он имеет привычку не изменять сказанному.,3,7,28,41,1.4642857142857142,2.3333333333333335
Сүөсүһүт күнүн бэлиэтиир үгэстэннибит.,у нас стало традицией отмечать день животновода.,4,8,38,48,1.263157894736842,2.0
"Үгэс курдук, бүгүн эмиэ эрдэ турдулар.","как обычно, они и сегодня встали рано.",6,9,38,38,1.0,1.5
Том зарядканан дьарыктанар үгэстэммит.,том регулярно занимается зарядкой.,4,5,38,34,0.8947368421052632,1.25
Үтүө киһи үгэлээх.,добрый человек любит шутить.,3,5,18,28,1.5555555555555556,1.6666666666666667
Үгэх иччитэ эмиэ үгэлээх.,дух чуланчика тоже насмехается.,4,5,25,31,1.24,1.25
Үгэх иччитэ эмиэ үгэлээх.,"любой найдёт, над чем посмеяться.",4,7,25,33,1.32,1.75
Төрдүс үйэтигэр тиийэ олордо.,он дожил до четвёртого поколения.,4,6,29,33,1.1379310344827587,1.5
Төрдүс үйэтигэр тиийэ олордо.,он дожил до правнуков.,4,5,29,22,0.7586206896551724,1.25
Үйэ-саас тухары доҕордуулар.,они друзья на всю жизнь.,3,6,28,24,0.8571428571428571,2.0
Үйэлээх сааспар манныгы көрбөтөҕүм.,за всю свою жизнь я такого не видал.,4,9,35,36,1.0285714285714285,2.25
Киэһэ үксүн дьиэбэр олоробун.,вечерами я большей частью сижу дома.,4,7,29,36,1.2413793103448276,1.75
Атахпын үктээтиҥ.,ты мне наступил на ногу.,2,6,17,24,1.411764705882353,3.0
Күөх оту тосту үктээбэт киһи.,он не наступит даже на зелёную травинку.,5,8,29,40,1.3793103448275863,1.6
"Таҥаһы үллэҥнэтимэ, быылы көтүтүмэ.","не тряси одежду, не подымай пыли.",4,8,35,33,0.9428571428571428,2.0
Муора долгуна үллэҥниир.,вздымаются морские волны.,3,4,24,25,1.0416666666666667,1.3333333333333333
Киэһэ булпутун үллэстии буолла.,вечером мы поделили нашу добычу.,4,6,31,32,1.032258064516129,1.5
Том киһи билбэт үлүгэр уларыйбыт.,том изменился до неузнаваемости.,5,5,33,32,0.9696969696969697,1.0
Атын үлүгэрдик айдааран турда.,"вопреки ожиданиям, он шумно запротестовал.",4,7,30,42,1.4,1.75
Бачча кыра дьиэҕэ бу үлүгэрдээх киһини ханна олордоҕут?,как поместишь столько народу в такой маленький дом?,8,9,55,51,0.9272727272727272,1.125
Үлэ күөстүү үллэр.,работа кипит.,3,3,18,13,0.7222222222222222,1.0
Бэйэм да өйдөөбөппүн.,и сам не помню.,3,5,21,15,0.7142857142857143,1.6666666666666667
Эргэ да тэтэрээттэри аҕал.,и старые тетради принеси.,4,5,26,25,0.9615384615384616,1.25
"Буоллаҕына, уон күҥҥүн сүтэриэҥ.","самое меньшее, потеряешь десять дней.",4,7,32,37,1.15625,1.75
Бу күөл собото кыратыйбыт.,караси в этом озере измельчали.,4,6,26,31,1.1923076923076923,1.5
Бэйэ-бэйэлэрин кыайсыбаттар.,они не могут одолеть друг друга.,2,7,28,32,1.1428571428571428,3.5
Онно кыама суох элбэх кус мустубут.,там скопилось великое множество уток.,6,6,35,37,1.0571428571428572,1.0
Кыамтата тиийбэт.,у него не хватает возможностей.,2,6,17,31,1.8235294117647058,3.0
Киэҥ көхсө кыараабыт.,он просто в отчаянии.,3,5,21,21,1.0,1.6666666666666667
Тииһим кыйыттар.,я уже набил оскомину.,2,5,16,21,1.3125,2.5
Һаттаан-һайдаан көһөн иһэллэр.,"они кочуют, шумно перегоняя лошадей и рогатый скот.",3,10,30,51,1.7,3.3333333333333335
Уоххун уҕарыт.,уйми свой гнев.,2,4,14,15,1.0714285714285714,2.0
Уоҕа уҕарыйда.,его гнев утих.,2,4,14,14,1.0,2.0
Уу кэлэрэ уҕарыйда.,вода перестала прибывать.,3,4,19,25,1.3157894736842106,1.3333333333333333
Атым түргэн сырыыттан уҕаалаата.,мой конь истомился от быстрой езды.,4,7,32,35,1.09375,1.75
Икки ардыларынан уу тохтубат.,между ними и вода не просочится.,4,7,29,32,1.103448275862069,1.75
Икки ардыларынан уу тохтубат.,их и водой не разольёшь.,4,6,29,24,0.8275862068965517,1.5
"Ийэ-аҕа санаата оҕоҕо, оҕо санаата тааска.","родители тоскуют по детям, дети - по скалам.",6,10,42,44,1.0476190476190477,1.6666666666666667
Идэлээх идэтиттэн өлөр.,умелец погибает от своего умения.,3,6,23,33,1.434782608695652,2.0
"Идэлээҕи кытта олоруоҥ — идэлээх буолуоҥ, түөкүнү кытта олоруоҥ — түөкүн буолуоҥ.","с умельцем жить — стать умельцем, с вором жить — стать вором.",12,14,81,61,0.7530864197530864,1.1666666666666667
Улахан өрүс уорааннаах.,на большой реке бывает холодный ветер.,3,7,23,38,1.6521739130434783,2.3333333333333335
"Көр эрэ маны, өссө кини сөбүлэспэт!","смотрите-ка на него, он ещё не соглашается!",6,9,35,43,1.2285714285714286,1.5
Көрсүө-сэмэй быһыы киһини киэргэтэр.,скромность украшает человека.,4,4,36,29,0.8055555555555556,1.0
Кини булчута өтө биллэр.,"сразу видно, что он охотник.",4,7,24,28,1.1666666666666667,1.75
Ити өтөрдөөҥүтэ буолбута.,это было недавно.,3,4,25,17,0.68,1.3333333333333333
Өттүк баттанан турар.,он стоит подбоченившись.,3,4,21,24,1.1428571428571428,1.3333333333333333
Оҕону үтүктүмэҥ.,не передразнивайте ребёнка.,2,4,16,27,1.6875,2.0
Үтүгэн киһи мустубут.,собралось достаточно много народу.,3,5,21,34,1.619047619047619,1.6666666666666667
Том миэхэ балыгы үтүгэнник биэрдэ.,том дал мне много рыбы.,5,6,34,23,0.6764705882352942,1.2
Хайа иччитигэр дылы үтүктүгэс.,"он передразнивает, как обезьяна.",4,6,30,32,1.0666666666666667,1.5
Үтүмэн уларыйыылар таҕыстылар.,в нашей жизни произошли большие изменения.,3,7,30,42,1.4,2.3333333333333335
"Үтүө ат биир кымньыылаах, үтүө киһи биир тыллаах.","доброму коню достаточно одного удара кнутом, у хорошего человека — одно слово.",8,14,49,78,1.5918367346938775,1.75
Үтүө биэттэн абааһы кулун төрөөбүтүгэр дылы.,и от хорошей кобылы рождается жеребёнок-урод.,6,7,44,45,1.0227272727272727,1.1666666666666667
Кини үтүөтэ ум-нуллуо суоҕа.,его доброта не забудется.,4,5,28,25,0.8928571428571429,1.25
Эрэй үтүөтүн эрэйдэнним.,"я узнал, почём фунт лиха.",3,7,24,25,1.0416666666666667,2.3333333333333335
Хайа үтүгэҥҥэ тустэ?,куда он запропастился?,3,4,20,22,1.1,1.3333333333333333
Хайа үтүгэҥҥэ тустэ?,в какую пропасть он провалился?,3,6,20,31,1.55,2.0
Том Саха үтүөлээх артиһа буолла.,том становится заслуженным артистом якутии.,5,6,32,43,1.34375,1.2
Том сэриигэ үтүөлэрин иһин наҕараадаланна.,том награждён за боевые заслуги.,5,6,42,32,0.7619047619047619,1.2
Ыалдьара үтүө буолла.,ему полегчало.,3,3,21,14,0.6666666666666666,1.0
Ыалдьара үтүө буолла.,его болезнь проходит.,3,4,21,21,1.0,1.3333333333333333
Үтүөкэн майгылаах.,у него прекрасный характер.,2,5,18,27,1.5,2.5
Том наһаа үтүөмсүйэр.,том слишком важничает.,3,4,21,22,1.0476190476190477,1.3333333333333333
Ыарыһах үтүөрдэ.,больной выздоровел.,2,3,16,19,1.1875,1.5
Ыарыһах үтүөрдэ.,его болезнь прошла.,2,4,16,19,1.1875,2.0
Ыарыһах үтүөрдэ.,её болезнь прошла.,2,4,16,18,1.125,2.0
Бааһа үтүөр-бүт.,его рана зажила.,2,4,16,16,1.0,2.0
