source,target,src_word_len,tgt_word_len,src_char_len,tgt_char_len,char_ratio,word_ratio,dataset
Биһиэхэ тохсунньуга хаар түһэр.,у нас в январе идёт снег.,4,7,31,25,0.8064516129032258,1.75,tatoeba
Ыт куосканы эккирэппитэ.,собака гналась за кошкой.,3,5,24,25,1.0416666666666667,1.6666666666666667,tatoeba
"Кэллэҕинэ этээриҥ эрэ, миигин кэтэстин.","если он придёт, скажите, чтобы подождал меня.",5,10,39,45,1.1538461538461537,2.0,tatoeba
Аатыҥ кимий?,как тебя зовут?,2,4,12,15,1.25,2.0,tatoeba
Махтал!,thank you,1,2,7,9,1.2857142857142858,2.0,tatoeba
Кэлиэ диэн эрэллээх.,"он уверен, что придёт.",3,6,20,22,1.1,2.0,tatoeba
Кэлиэм диэн эрэллээх.,"он уверен, что придёт.",3,6,21,22,1.0476190476190477,2.0,tatoeba
Манна сайынын ардах элбэхтэ түһэр.,летом здесь часто идёт дождь.,5,6,34,29,0.8529411764705882,1.2,tatoeba
Суолу туоруохха эрэ.,давай перейдём через дорогу.,3,5,20,28,1.4,1.6666666666666667,tatoeba
Мин маны утарабын.,я против этой идеи.,3,5,18,19,1.0555555555555556,1.6666666666666667,tatoeba
Мин барыларынааҕар түргэнник сүүрэбин.,я бегаю быстрее всех.,4,5,38,21,0.5526315789473685,1.25,tatoeba
"Эн этэргин өйдүүбүн да буоллар, сөбүлэһэр кыаҕым суох.","хотя я понимаю то, что вы говорите, я не могу с вами согласиться.",8,16,54,65,1.2037037037037037,2.0,tatoeba
Дьиэҕэр бараргар сэрэнээр.,будь осторожен по дороге домой.,3,6,26,31,1.1923076923076923,2.0,tatoeba
Ыстаансыйаҕа атаспын көрүстүм.,я встретил друга на станции.,3,6,30,28,0.9333333333333333,2.0,tatoeba
Бу оптуобустартан биирэ да Синдзюкуга тиийбэт.,ни один из этих автобусов не идёт в синдзюку.,6,10,46,45,0.9782608695652174,1.6666666666666667,tatoeba
Кини хайаан да кэлиэ.,он обязательно придёт.,4,4,21,22,1.0476190476190477,1.0,tatoeba
Суол өрүһү кыйа барар.,дорога идёт параллельно реке.,4,5,22,29,1.3181818181818181,1.25,tatoeba
Дохсун ардах түһэр.,идёт сильный дождь.,3,4,19,19,1.0,1.3333333333333333,tatoeba
"Суох, махтал.",no thank you,2,3,13,12,0.9230769230769231,1.5,tatoeba
"""Уруучукалааххын дуо?"" - ""Аһаа, баар"".","«у тебя есть ручка?» — «да, есть».",5,14,38,34,0.8947368421052632,2.8,tatoeba
Улахан махтал!,большое thank you,2,3,14,17,1.2142857142857142,1.5,tatoeba
Эрдэттэн махтал.,заранее thank you,2,3,16,17,1.0625,1.5,tatoeba
Тыала суохха мас хамсаабат.,no дыма без огня.,4,5,27,17,0.6296296296296297,1.25,tatoeba
"Сөп, өйдүүбүн. Улахан махтал.",yes я понимаю. большое thank you,4,7,29,32,1.103448275862069,1.75,tatoeba
"Ээ, ынаҕы маннык ыыллар эбит дии?","а, так вот как доят корову?",6,8,33,27,0.8181818181818182,1.3333333333333333,tatoeba
Көмөҥ иһин улахан махтал.,большое thank you за вашу помощь.,4,7,25,33,1.32,1.75,tatoeba
Инньэни уорбут ынаҕы да уоруо.,укравший булавку украдёт и корову.,5,6,30,34,1.1333333333333333,1.2,tatoeba
Суор суорун хараҕын оҥмот.,ворон ворону глаз не выклюет.,4,6,26,29,1.1153846153846154,1.5,tatoeba
Эҕэрдэ!,hello,1,1,7,5,0.7142857142857143,1.0,tatoeba
Бу оҕо оонньуута буолбатах.,это не шутка.,4,4,27,13,0.48148148148148145,1.0,tatoeba
"Мин куоскалааххпын уонна ыттаахпын. Куоска хара, ыт маҥан.","у меня есть кот и собака. кот чёрный, а собака белая.",8,14,58,53,0.9137931034482759,1.75,tatoeba
Кинини көрбөтөҕүм өр буолла.,я не видел его уже давно.,4,7,28,25,0.8928571428571429,1.75,tatoeba
Мин маҥан уонна хара ыттардаахпын.,у меня есть белая собака и чёрная собака.,5,9,34,41,1.2058823529411764,1.8,tatoeba
Ынах биһиэхэ үүтү биэрэр.,коровы дают нам молоко.,4,5,25,23,0.92,1.25,tatoeba
Илин атаххыт ибирэ суох буоллун!,счастливого пути!,5,3,32,17,0.53125,0.6,tatoeba
Ынах - туһалаах харамай.,корова - полезное животное.,4,5,24,27,1.125,1.25,tatoeba
Ынахтан үүт кэлэр.,коровы дают молоко.,3,4,18,19,1.0555555555555556,1.3333333333333333,tatoeba
"Мин убайдаахпын, ону тэҥэ эдьиийдээхпин.","у меня есть старший брат, а также есть старшая сестра.",5,12,40,54,1.35,2.4,tatoeba
Мин убайдаахпын уонна эдьиийдээхпин.,"у меня есть старший брат, а также есть старшая сестра.",4,12,36,54,1.5,3.0,tatoeba
Көҕөрбүтүн көрүмэ — үүнээйитэ билиэҕэ.,цыплят по осени считают.,5,5,38,24,0.631578947368421,1.0,tatoeba
Арыы ынах үүтүттэн оҥоһуллар.,масло делается из коровьего молока.,4,6,29,35,1.206896551724138,1.5,tatoeba
Сымыыты оҕуска атастаһыаҥ этэ дуо?,а вы станете яйцо на быка менять?,5,8,34,33,0.9705882352941176,1.6,tatoeba
Хап-хара да ынах үүтэ үрүҥ буолар.,даже у самой чёрной коровы молоко белое.,6,8,34,40,1.1764705882352942,1.3333333333333333,tatoeba
"Борооску барбыта, оҕус кэллэ.","ушёл телёнок, вернулся бык.",4,6,29,27,0.9310344827586207,1.5,tatoeba
"Тарбыйаҕынан барбыта, оҕуһунан кэллэ.","ушёл телёнок, вернулся бык.",4,6,37,27,0.7297297297297297,1.5,tatoeba
Аттаах сатыыны кытта аргыстаспат.,пеший конному не товарищ.,4,5,33,25,0.7575757575757576,1.25,tatoeba
Истигэн сымыыт айаас оҕустааҕар ордук.,"лучше послушное яйцо, чем непослушный бык.",5,8,38,42,1.105263157894737,1.6,tatoeba
Албыннаабакка сатаан атыылыаҥ суоҕа.,не обманешь — не продашь.,4,6,36,25,0.6944444444444444,1.5,tatoeba
"Идэлээҕи кытта олоруоҥ — идэлээх буолуоҥ, түөкүнү кытта олоруоҥ — түөкүн буолуоҥ.","с кем поведёшься, от того и наберёшься.",12,9,81,39,0.48148148148148145,0.75,tatoeba
Киэр дьүгэлий!,вон отсюда!,2,3,14,11,0.7857142857142857,1.5,tatoeba
Оҕуһу ханна илдьэллэрий?,куда ведут быка?,3,4,24,16,0.6666666666666666,1.3333333333333333,tatoeba
Уу харахпынан көрбүтүм.,я видел это собственными глазами.,3,6,23,33,1.434782608695652,2.0,tatoeba
Соҕотох кууруссаны көрөбүн. Кини атахтаах уонна кынаттаах.,я вижу одну курицу. у неё есть ноги и есть крылья.,7,13,58,50,0.8620689655172413,1.8571428571428572,tatoeba
"Киһи биир төбөлөөх, икки атахтаах.",у человека одна голова и две ноги.,5,8,34,34,1.0,1.6,tatoeba
Харахтаах көрөр; кулгаахтах истэр.,"имеющий глаза yes увидит, имеющий уши yes услышит.",4,10,34,50,1.4705882352941178,2.5,tatoeba
Сырдык баар сиригэр күлүк баар.,"где есть свет, там есть и тень.",5,9,31,31,1.0,1.8,tatoeba
Мин бүгүн дьиэҕэ өрөөтүм.,сегодня я дома отдыхаю.,4,5,25,23,0.92,1.25,tatoeba
Отонноотоххо оҥоойук туолар.,с миру по нитке - голому рубаха.,3,8,28,32,1.1428571428571428,2.6666666666666665,tatoeba
Бытааннык аһаатахха кыраны аһыахха сөп дииллэр.,"говорят, что есть медленнее — это способ есть меньше.",6,11,47,53,1.127659574468085,1.8333333333333333,tatoeba
Махтал!,thank you,1,2,7,9,1.2857142857142858,2.0,tatoeba
Бу быдан ордук.,это гораздо лучше.,3,4,15,18,1.2,1.3333333333333333,tatoeba
Бурдж-Халифа билигин аан дойдуга саамай үрдүк небоскреб.,бурдж-халифа является в настоящее время самым высоким небоскребом в мире.,7,11,56,73,1.3035714285714286,1.5714285714285714,tatoeba
Аах-маах тыллаһар.,он говорит бестолково.,2,4,18,22,1.2222222222222223,2.0,tatoeba
Ким да ынчыгын истэр кыаҕым суох.,не могу слышать чьих-либо стонов.,6,6,33,33,1.0,1.0,tatoeba
Уотунан оонньоомо.,не играй с огнём.,2,5,18,17,0.9444444444444444,2.5,tatoeba
Маны туох диэн ааттыыллар?,как это называется?,4,4,26,19,0.7307692307692307,1.0,tatoeba
Өөҥөтөр бүгүн кэлээрэй.,"возможно, он сегодня придёт.",3,6,23,28,1.2173913043478262,2.0,tatoeba
Үтүө биэттэн абааһы кулун төрөөбүтүгэр дылы.,в семье не без урода.,6,6,44,21,0.4772727272727273,1.0,tatoeba
Доҕордуу буолуох.,будем друзьями.,2,3,17,15,0.8823529411764706,1.5,tatoeba
Сирэйэ кубарыйбыт.,его лицо побледнело.,2,4,18,20,1.1111111111111112,2.0,tatoeba
"""Суоҕу"" суоруоҥ дуо?",на no и суда no,3,5,20,15,0.75,1.6666666666666667,tatoeba
Сүрэҕим тыытта.,у меня защемило сердце.,2,5,15,23,1.5333333333333334,2.5,tatoeba
"Таҕыл диэн баар, имэҥ диэн баар, таптал диэн баар.","есть страсть, есть влюбленность, есть любовь.",9,9,50,45,0.9,1.0,tatoeba
Бааһырбыт киһи ынчыгын истибиппит.,мы слышали стоны раненого человека.,4,6,34,35,1.0294117647058822,1.5,tatoeba
Сорохтор ыттарын күҥҥэ биирдэ эрэ аһаталлар.,многие владельцы собак кормят своих собак лишь раз в день.,6,11,44,58,1.3181818181818181,1.8333333333333333,tatoeba
Уу паарга кубулуйар.,вода превращается в пар.,3,5,20,24,1.2,1.6666666666666667,tatoeba
"Үрдэр антах, өҕүрүйдэр бэттэх.",он слабовольный человек.,4,4,30,24,0.8,1.0,tatoeba
Кини кэлиэ дуо? Кэлиэ дии санаабаппын.,"он придёт? не думаю, что придёт.",6,9,38,32,0.8421052631578947,1.5,tatoeba
Уотунан оонньоомо!,не играй с огнём!,2,5,18,17,0.9444444444444444,2.5,tatoeba
Туох барыта буолар.,всякое бывает.,3,3,19,14,0.7368421052631579,1.0,tatoeba
Амсайарга аналлаах кинигэ баар буолар; оттон сорох кинигэ ыйыстарга аналлаах. Арай аҕыйах кинигэ ыстаан баран иҥэринэргэ аналлаах.,"есть книги, которые нужно пробовать на вкус; есть иные, которые нужно глотать. и есть немногие, которые нужно пережёвывать и усваивать.",17,26,130,135,1.0384615384615385,1.5294117647058822,tatoeba
Тыытыма!,не трогай!,1,3,8,10,1.25,3.0,tatoeba
"Сылгы ыттааҕар улахан, оттон куоска ыттааҕар кыра.","лошадь больше собаки, а кошка меньше собаки.",7,9,50,44,0.88,1.2857142857142858,tatoeba
Кураанах тыльшан кумахтан өтүүнү өрөр.,у него язык хорошо подвешен.,5,6,38,28,0.7368421052631579,1.2,tatoeba
Томын хараҕын аалларар.,он ненавидит тома.,3,4,23,18,0.782608695652174,1.3333333333333333,tatoeba
"Киэһээҥи аһылыкка дылы кэлиэ, кэллэҕинэ.","он придёт до обеда, если вообще придёт.",5,9,40,39,0.975,1.8,tatoeba
Барыгытыгар махтал. Улахан махтал.,thank you всем. thank you большое.,4,8,34,34,1.0,2.0,tatoeba
"Эн 2:30 кэлиэҥ, оттон Мария арыый хойут кэлиэ.","ты придёшь в 2:30, а мария придёт чуть позднее.",8,11,46,47,1.0217391304347827,1.375,tatoeba
Аах-чуох санаамаҥ.,не поминайте лихом!,2,4,18,19,1.0555555555555556,2.0,tatoeba
Аан дойдутааҕы дьахтар күнүнэн эҕэрдэлиибин!,с международным женским днём!,5,5,44,29,0.6590909090909091,1.0,tatoeba
Ыттар бары - кыыллар. Ол эрэн ити этии кыыл бары ыт диэн буолбатах.,"все собаки - животные. однако это не значит, что все животные - собаки.",13,16,67,71,1.0597014925373134,1.2307692307692308,tatoeba
Оннооҕор Том итинник гыныа суох этэ.,даже тому бы хватило мозгов этого не делать.,6,9,36,44,1.2222222222222223,1.5,tatoeba
Том уонна Мэри доҕотторо кинилэр уруу малааһыннарыгар онтон-мантан кэлбиттэр.,"друзья тома и мэри съехались отовсюду, чтобы поприсутствовать на их свадьбе.",9,13,77,76,0.987012987012987,1.4444444444444444,tatoeba
Боксерга иккис рауҥҥа сымыйанан нокаут барарын иһин харчы төлөөбүттэр.,"боксёру заплатили, чтобы он симулировал нокаут во втором раунде.",9,11,70,64,0.9142857142857143,1.2222222222222223,tatoeba
Том хаһыаты суулаан баран хонноҕун анныгар угунна.,том сложил газету и положил себе под мышку.,7,9,50,43,0.86,1.2857142857142858,tatoeba
Аанньа утуйбатым.,я плохо спал.,2,4,17,13,0.7647058823529411,2.0,tatoeba
"Балык уу дириҥин былдьаһар, киһи күн үтүөтүн көрдөһөр.","рыба ищет, где глубже, а человек — где лучше.",8,12,54,45,0.8333333333333334,1.5,tatoeba
Том элбэх харчыны өлөрбүт.,том заработал много денег.,4,5,26,26,1.0,1.25,tatoeba
Самыыр күннүктээн түстэ.,дождь шёл весь день.,3,5,24,20,0.8333333333333334,1.6666666666666667,tatoeba
Мин куоракка баарбын.,я в городе.,3,4,21,11,0.5238095238095238,1.3333333333333333,tatoeba
Дьэ тугу этиэҥ баарай!,какая досада!,4,3,22,13,0.5909090909090909,0.75,tatoeba
Күн сирэ күндү.,никому не хочется умирать.,3,5,15,26,1.7333333333333334,1.6666666666666667,tatoeba
Оннук буолбат.,так не бывает.,2,4,14,14,1.0,2.0,tatoeba
Оннук буолбат.,такого не бывает.,2,4,14,17,1.2142857142857142,2.0,tatoeba
Дьэ бэрт доҕор!,ну и ну!,3,4,15,8,0.5333333333333333,1.3333333333333333,tatoeba
Бу күөл өҕүөмэр балыктаах.,это озеро богато рыбой.,4,5,26,23,0.8846153846153846,1.25,tatoeba
Наар аанньа.,час от часу не легче.,2,6,12,21,1.75,3.0,tatoeba
Үс омук тылын билэр.,он знает три иностранных языка.,4,6,20,31,1.55,1.5,tatoeba
Оннук ордук буолуо.,так будет лучше всего.,3,5,19,22,1.1578947368421053,1.6666666666666667,tatoeba
"Уутааҕар чуумпу, оттооҕор намыһах.","тише воды, ниже травы.",4,6,34,22,0.6470588235294118,1.5,tatoeba
Аттаах сатыыны кытта аргыстаспат.,пеший конному не попутчик.,4,5,33,26,0.7878787878787878,1.25,tatoeba
Этиһии алҕаһы элбэтэр.,ссора умножает ошибки.,3,4,22,22,1.0,1.3333333333333333,tatoeba
Ыттан тириитин сүлүөҥ дуо?,разве с собаки шкуру сдерёшь?,4,6,26,29,1.1153846153846154,1.5,tatoeba
Ыттан тириитин сүлүөҥ дуо?,а он в состоянии оплатить?,4,6,26,26,1.0,1.5,tatoeba
Ыт тыһын курдук кылгаата.,у него пороху не хватило.,4,6,25,25,1.0,1.5,tatoeba
Ыт тыһын курдук кылгаата.,"он укоротился, как собачья лапа.",4,7,25,32,1.28,1.75,tatoeba
Кырыыстаах кыраабытын курдук.,как-будто проклял заклинатель.,3,4,29,30,1.0344827586206897,1.3333333333333333,tatoeba
Кырыыстаах кыраабытын курдук.,"не везёт, так не везёт.",3,7,29,23,0.7931034482758621,2.3333333333333335,tatoeba
Кырыыстаах кыраабытын курдук.,к этой работе рука не лежит.,3,7,29,28,0.9655172413793104,2.3333333333333335,tatoeba
Көҕөрбүтүн көрүмэ — үүнээйитэ билиэҕэ.,"не смотри, что зелено — по урожаю увидим.",5,10,38,41,1.0789473684210527,2.0,tatoeba
Оҕоҕо испиискэни тыыттарымаҥ.,не позволяйте детям трогать спички.,3,6,29,35,1.206896551724138,2.0,tatoeba
"Эһэ тыҥыраҕынан, эр сүрэҕинэн.","медведь силён когтями, добрый молодец — сердцем.",4,9,30,48,1.6,2.25,tatoeba
Сүрэхпиттэн быстыам дуо?,разве я отрежу кусок от своего сердца?,3,8,24,38,1.5833333333333333,2.6666666666666665,tatoeba
Том сүрэҕин ырбаахыта чараас.,том уж слишком сердобольный.,4,5,29,28,0.9655172413793104,1.25,tatoeba
"Сүрэх баҕарар да, сүһүөх уйбат.","сердце так и рвётся, yes сил не хватает.",5,10,31,40,1.2903225806451613,2.0,tatoeba
Сүрэҕэ көҕөрбүт.,он совершенно обленился.,2,4,16,24,1.5,2.0,tatoeba
Сүрэҕэ көппөйбүт.,он совершенно обленился.,2,4,17,24,1.411764705882353,2.0,tatoeba
Тыаҕа бултаан биир тииҥ көрөн баран куоттаран кэбистим.,"охотясь в лесу, преследовал белку, но упустил её.",8,11,55,49,0.8909090909090909,1.375,tatoeba
Сылдьыым үчүгэй.,самочувствие у меня хорошее.,2,5,16,28,1.75,2.5,tatoeba
Эриэн үөн таастан сылдьырыйан түстэ.,змея легко и бесшумно соскользнула с камня.,5,8,36,43,1.1944444444444444,1.6,tatoeba
"Ынах маҥыраабат, киһи сылдьыбат ыала.","в доме не слышны ни людская речь, ни коровье мычание.",5,12,37,53,1.4324324324324325,2.4,tatoeba
Ынаҕы ыҥыырдаабыкка дылы.,как корове седло.,3,4,25,17,0.68,1.3333333333333333,tatoeba
Тарбаабыт ынах курдук.,"смирный как корова, которую чешут.",3,7,22,34,1.5454545454545454,2.3333333333333335,tatoeba
Тыала суохха мас хамсаабат.,без ветра деревья не колышутся.,4,6,27,31,1.1481481481481481,1.5,tatoeba
Үлүбүөй киһини истэр сатаммат.,нельзя слушать первого попавшегося.,4,5,30,35,1.1666666666666667,1.25,tatoeba
Том түүнү быһа үлүгүнэйэн таҕыста.,том всю ночь бредил.,5,5,34,20,0.5882352941176471,1.0,tatoeba
Туох баара тыал тыаһын курдук иһит.,всё это пропусти мимо ушей.,6,6,35,27,0.7714285714285715,1.0,tatoeba
Туох баара тыал тыаһын курдук иһит.,всё это слушай как шум ветра.,6,7,35,29,0.8285714285714286,1.1666666666666667,tatoeba
Холлоҕос көтүтэр тыал үрэр.,"дует ветер, уносящий берестяные сосуды из-под зимних запасов.",4,10,27,61,2.259259259259259,2.5,tatoeba
Холлоҕос көтүтэр тыал үрэр.,зимние припасы кончились.,4,4,27,25,0.9259259259259259,1.0,tatoeba
Бүгүн куобах тыалырҕаан күүппэт.,сегодня заяц чуток и близко не подпускает охотника.,4,9,32,51,1.59375,2.25,tatoeba
Оҕус тириитин иккитэ сүлбэттэр.,с одного быка дважды шкуру не сдирают.,4,8,31,38,1.2258064516129032,2.0,tatoeba
Оҕус тириитин иккитэ сүлбэттэр.,два раза за одно и то же не спрашивают.,4,10,31,39,1.2580645161290323,2.5,tatoeba
Еллөхпүнэ сиэбит да суорум тиэрдэр үһүө.,"не доставит меня туда и ворон, съевший мой труп.",6,11,40,48,1.2,1.8333333333333333,tatoeba
Еллөхпүнэ сиэбит да суорум тиэрдэр үһүө.,у чёрта на куличках.,6,5,40,20,0.5,0.8333333333333334,tatoeba
Өлөн көрөн өлөрү билбит суох.,никто ещё не умирал временно.,5,6,29,29,1.0,1.2,tatoeba
Өллөхпүнэ үөрүм ытаан ааһыаҕа.,после смерти дух мой обо мне плачем напомнит.,4,9,30,45,1.5,2.25,tatoeba
Елүү суолун нэтээгинэн бүөлээбиккэ дылы.,"всё равно, что затыкать вход в преисподнюю шкуркой летяги.",5,11,40,58,1.45,2.2,tatoeba
Елүү суолун нэтээгинэн бүөлээбиккэ дылы.,пустяками тут не отделаешься.,5,5,40,29,0.725,1.0,tatoeba
Эппитин кубулуппат үгэстээх.,он имеет привычку не изменять сказанному.,3,7,28,41,1.4642857142857142,2.3333333333333335,tatoeba
Сүөсүһүт күнүн бэлиэтиир үгэстэннибит.,у нас стало традицией отмечать день животновода.,4,8,38,48,1.263157894736842,2.0,tatoeba
"Үгэс курдук, бүгүн эмиэ эрдэ турдулар.","как обычно, они и сегодня встали рано.",6,9,38,38,1.0,1.5,tatoeba
Том зарядканан дьарыктанар үгэстэммит.,том регулярно занимается зарядкой.,4,5,38,34,0.8947368421052632,1.25,tatoeba
Үтүө киһи үгэлээх.,добрый человек любит шутить.,3,5,18,28,1.5555555555555556,1.6666666666666667,tatoeba
Үгэх иччитэ эмиэ үгэлээх.,дух чуланчика тоже насмехается.,4,5,25,31,1.24,1.25,tatoeba
Үгэх иччитэ эмиэ үгэлээх.,"любой найдёт, над чем посмеяться.",4,7,25,33,1.32,1.75,tatoeba
Төрдүс үйэтигэр тиийэ олордо.,он дожил до четвёртого поколения.,4,6,29,33,1.1379310344827587,1.5,tatoeba
Төрдүс үйэтигэр тиийэ олордо.,он дожил до правнуков.,4,5,29,22,0.7586206896551724,1.25,tatoeba
Үйэ-саас тухары доҕордуулар.,они друзья на всю жизнь.,3,6,28,24,0.8571428571428571,2.0,tatoeba
Үйэлээх сааспар манныгы көрбөтөҕүм.,за всю свою жизнь я такого не видал.,4,9,35,36,1.0285714285714285,2.25,tatoeba
Киэһэ үксүн дьиэбэр олоробун.,вечерами я большей частью сижу дома.,4,7,29,36,1.2413793103448276,1.75,tatoeba
Атахпын үктээтиҥ.,ты мне наступил на ногу.,2,6,17,24,1.411764705882353,3.0,tatoeba
Күөх оту тосту үктээбэт киһи.,он не наступит даже на зелёную травинку.,5,8,29,40,1.3793103448275863,1.6,tatoeba
"Таҥаһы үллэҥнэтимэ, быылы көтүтүмэ.","не тряси одежду, не подымай пыли.",4,8,35,33,0.9428571428571428,2.0,tatoeba
Муора долгуна үллэҥниир.,вздымаются морские волны.,3,4,24,25,1.0416666666666667,1.3333333333333333,tatoeba
Киэһэ булпутун үллэстии буолла.,вечером мы поделили нашу добычу.,4,6,31,32,1.032258064516129,1.5,tatoeba
Том киһи билбэт үлүгэр уларыйбыт.,том изменился до неузнаваемости.,5,5,33,32,0.9696969696969697,1.0,tatoeba
Атын үлүгэрдик айдааран турда.,"вопреки ожиданиям, он шумно запротестовал.",4,7,30,42,1.4,1.75,tatoeba
Бачча кыра дьиэҕэ бу үлүгэрдээх киһини ханна олордоҕут?,как поместишь столько народу в такой маленький дом?,8,9,55,51,0.9272727272727272,1.125,tatoeba
Үлэ күөстүү үллэр.,работа кипит.,3,3,18,13,0.7222222222222222,1.0,tatoeba
Бэйэм да өйдөөбөппүн.,и сам не помню.,3,5,21,15,0.7142857142857143,1.6666666666666667,tatoeba
Эргэ да тэтэрээттэри аҕал.,и старые тетради принеси.,4,5,26,25,0.9615384615384616,1.25,tatoeba
"Буоллаҕына, уон күҥҥүн сүтэриэҥ.","самое меньшее, потеряешь десять дней.",4,7,32,37,1.15625,1.75,tatoeba
Бу күөл собото кыратыйбыт.,караси в этом озере измельчали.,4,6,26,31,1.1923076923076923,1.5,tatoeba
Бэйэ-бэйэлэрин кыайсыбаттар.,они не могут одолеть друг друга.,2,7,28,32,1.1428571428571428,3.5,tatoeba
Онно кыама суох элбэх кус мустубут.,там скопилось великое множество уток.,6,6,35,37,1.0571428571428572,1.0,tatoeba
Кыамтата тиийбэт.,у него не хватает возможностей.,2,6,17,31,1.8235294117647058,3.0,tatoeba
Киэҥ көхсө кыараабыт.,он просто в отчаянии.,3,5,21,21,1.0,1.6666666666666667,tatoeba
Тииһим кыйыттар.,я уже набил оскомину.,2,5,16,21,1.3125,2.5,tatoeba
Һаттаан-һайдаан көһөн иһэллэр.,"они кочуют, шумно перегоняя лошадей и рогатый скот.",3,10,30,51,1.7,3.3333333333333335,tatoeba
Уоххун уҕарыт.,уйми свой гнев.,2,4,14,15,1.0714285714285714,2.0,tatoeba
Уоҕа уҕарыйда.,его гнев утих.,2,4,14,14,1.0,2.0,tatoeba
Уу кэлэрэ уҕарыйда.,вода перестала прибывать.,3,4,19,25,1.3157894736842106,1.3333333333333333,tatoeba
Атым түргэн сырыыттан уҕаалаата.,мой конь истомился от быстрой езды.,4,7,32,35,1.09375,1.75,tatoeba
Икки ардыларынан уу тохтубат.,между ними и вода не просочится.,4,7,29,32,1.103448275862069,1.75,tatoeba
Икки ардыларынан уу тохтубат.,их и водой не разольёшь.,4,6,29,24,0.8275862068965517,1.5,tatoeba
"Ийэ-аҕа санаата оҕоҕо, оҕо санаата тааска.","родители тоскуют по детям, дети - по скалам.",6,10,42,44,1.0476190476190477,1.6666666666666667,tatoeba
Идэлээх идэтиттэн өлөр.,умелец погибает от своего умения.,3,6,23,33,1.434782608695652,2.0,tatoeba
"Идэлээҕи кытта олоруоҥ — идэлээх буолуоҥ, түөкүнү кытта олоруоҥ — түөкүн буолуоҥ.","с умельцем жить — стать умельцем, с вором жить — стать вором.",12,14,81,61,0.7530864197530864,1.1666666666666667,tatoeba
Улахан өрүс уорааннаах.,на большой реке бывает холодный ветер.,3,7,23,38,1.6521739130434783,2.3333333333333335,tatoeba
"Көр эрэ маны, өссө кини сөбүлэспэт!","смотрите-ка на него, он ещё не соглашается!",6,9,35,43,1.2285714285714286,1.5,tatoeba
Көрсүө-сэмэй быһыы киһини киэргэтэр.,скромность украшает человека.,4,4,36,29,0.8055555555555556,1.0,tatoeba
